grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de enero de 2005,25.922
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de julio de 2004,21.944
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de enero de 2004,19.928
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de julio de 2003,16.778
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de enero de 2003,14.540
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de julio de 2002,11.459
De 15 a 19 anios,Pais de la UE28 sin Espania,1 de enero de 2002,9.165
De 15 a 19 anios,Pais de Europa menos UE27_2020,1 de julio de 2022,11.739
De 15 a 19 anios,Pais de Europa menos UE27_2020,1 de enero de 2022,9.219
De 15 a 19 anios,Pais de Europa menos UE27_2020,1 de julio de 2021,8.888
De 15 a 19 anios,Pais de Europa menos UE27_2020,1 de enero de 2021,8.727
De 15 a 19 anios,Pais de Europa menos UE27_2020,1 de julio de 2020,8.509
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2020,6.146
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2019,5.805
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2019,5.727
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2018,5.426
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2018,5.400
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2017,5.285
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2017,5.347
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2016,5.285
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2016,5.438
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2015,5.370
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2015,5.453
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2014,5.417
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2014,5.601
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2013,5.598
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2013,5.805
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2012,5.731
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2012,5.798
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2011,5.673
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2011,5.734
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2010,5.615
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2010,5.615
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2009,5.490
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2009,5.439
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2008,5.266
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2008,5.108
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2007,4.665
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2007,4.340
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2006,3.985
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2006,3.778
De 15 a 19 anios,Pais de Europa menos UE28,1 de julio de 2005,3.549
De 15 a 19 anios,Pais de Europa menos UE28,1 de enero de 2005,3.353
